"matchScore","AB_Similarity","C_Similarity","ImageID"
"0.7655565635457956","-0.061907533371678175","0.8365765055484088","705"
"0.4610342681037586","-0.14413081295034796","0.5391849942216869","706"
"0.4757693005391461","-0.16388558793363545","0.5614338493493408","707"
"0.16799499914293872","-0.15458222102047553","0.23026835352031147","708"
"-0.20656431252264612","-0.2522468368199641","-0.13666892166175687","709"
"-0.47298529252030697","-0.2299641642286592","-0.4280499808727873","710"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","711"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","712"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","713"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","714"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","715"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","716"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","717"
"-0.44215507175298235","-0.22929077042590687","-0.39540820267222454","718"
"-0.5316724890052732","-0.1481864680385315","-0.5176892340853355","719"
"-0.5465115851112885","-0.14495402552554618","-0.5345779520251744","720"
"-0.5181811334282533","-0.14726144797612625","-0.5036138643910083","721"
"-0.5337420779859312","-0.15429256000456548","-0.5178734784671478","722"
"-0.5196284680524134","-0.14620117161177815","-0.5055078022461191","723"
"-0.5221237770299535","-0.14546573431527274","-0.5084113075663997","724"
"-0.5343341407487449","-0.14609361649670757","-0.5212195424506241","725"
"-0.5398215856175568","-0.13919210606716165","-0.5293544221901451","726"
"-0.5241852983831463","-0.13957901219522204","-0.5125581525814489","727"
"-0.5182525903699376","-0.14543776353067242","-0.504293916665285","728"
"-0.5309462417022793","-0.14633709236405829","-0.5175274476147321","729"
"-0.541518959157467","-0.14131650134310983","-0.5304603538164286","730"
"-0.5509526026870276","-0.13448348532227605","-0.542779168012953","731"
"-0.5505399337096234","-0.14442437250488332","-0.5390475233971953","732"
"-0.5524059761613865","-0.1435018891512597","-0.5413421726681703","733"
"-0.5234633303533638","-0.13033175525946253","-0.514850600570092","734"
"-0.5291283907007441","-0.13066302532743249","-0.5207798139699539","735"
"-0.5361597224691719","-0.1283236237606259","-0.5290498054729463","736"
"-0.538417652378251","-0.12903716991213268","-0.5312204623026805","737"
"-0.5230806126844664","-0.11630823693571449","-0.5190862581113129","738"
"-0.5292289002022378","-0.11484473014302117","-0.5261248952020048","739"
"-0.5734583466082521","-0.11671171628931952","-0.5726549007061991","740"
"-0.5329624209150683","-0.11473501236188803","-0.5301411284010987","741"
"-0.5501969075352894","-0.11820715682364819","-0.5473632114588262","742"
"-0.5747747398320897","-0.12554883415773976","-0.5711319151463494","743"
"-0.5433074705366471","-0.12064956730364125","-0.5392103690991794","744"
"-0.5706391368789608","-0.12304125817278333","-0.5675537344911444","745"
"-0.568567525485647","-0.11544860284190564","-0.5678595827056626","746"
"-0.5560509891720523","-0.11471204879231789","-0.5547609550593346","747"
"-0.5712119015903593","-0.12078578696493328","-0.5689111549752855","748"
"-0.5650534552136444","-0.12995007348099288","-0.5593117163923814","749"
"-0.5463570011591226","-0.12435821414331757","-0.5412330929802032","750"
"-0.5559661557955125","-0.123297400965636","-0.5518276411141899","751"
"-0.5356148943284921","-0.123104504315527","-0.5301972390341683","752"
"-0.5741531894395214","-0.11649139421820147","-0.5734685531010583","753"
"-0.5514867179837903","-0.11664731544155334","-0.5492546515897002","754"
"-0.5468146945980308","-0.11882491677779289","-0.543553240562748","755"
"-0.5715180181768321","-0.1275402992306315","-0.5670008396239048","756"
"-0.5544807206206702","-0.11855474980309594","-0.5518146217433076","757"
"-0.5491457024305412","-0.12193597582015579","-0.5450079053301888","758"
"-0.5758712947716378","-0.15926515072871858","-0.5611362923585516","759"
"-0.6125449922358005","-0.1748832296575931","-0.5950585093773142","760"
"-0.6125449922358005","-0.1748832296575931","-0.5950585093773142","761"
"-0.5976837117671636","-0.1815979720440229","-0.5769930434975407","762"
"-0.5666020736527303","-0.16508639036613354","-0.5493277827402869","763"
"-0.5571588738040117","-0.1575099037792939","-0.5417702245341761","764"
"-0.5754600064719544","-0.14872635909985316","-0.5641875907581767","765"
"-0.5504925326263588","-0.1398773095630031","-0.5405026709224263","766"
"-0.5691950953957913","-0.15395504143556804","-0.555777865025945","767"
"-0.60970075153977","-0.14301026984004298","-0.6025807198464077","768"
"-0.6193599090684768","-0.16451834358445816","-0.6057552967980424","769"
"-0.5892857297020171","-0.17482729732937816","-0.5702828491824143","770"
"-0.5967622574605431","-0.1500309051722412","-0.5864636373052223","771"
"-0.5363841172019487","-0.17442951950220556","-0.5140218851615919","772"
"-0.5867859304158994","-0.1670563226897285","-0.570191299612014","773"
"-0.5494400930084041","-0.189124314485597","-0.5230735345136913","774"
"-0.5530129763488205","-0.18217211980209336","-0.5291842905907205","775"
"-0.5674566927007116","-0.18143147127993386","-0.5448264247926637","776"
"-0.5301361723783585","-0.1727440334283948","-0.5079197453448101","777"
"-0.5565182338845401","-0.1643523731883591","-0.5388215494413092","778"
"-0.5770167692431925","-0.17358433602986645","-0.5576158224262413","779"
"-0.6148017529883862","-0.19389350306883354","-0.5911692933691962","780"
"-0.6200115620196208","-0.19133256391275824","-0.5975709147825379","781"
"-0.5799055916843738","-0.16965103839077258","-0.5619977226833612","782"
"-0.5181024702666381","-0.135280815778639","-0.5074971771353957","783"
